Frequency,Magnitude,Phase
383,1.20571e-08,-1.45277
384,1.20513e-08,-1.4455
385,1.21242e-08,-1.4401
386,1.23418e-08,-1.4475
387,1.21509e-08,-1.44941
388,1.21973e-08,-1.44888
389,1.22378e-08,-1.44894
390,1.22519e-08,-1.4486
391,1.22571e-08,-1.44986
392,1.23165e-08,-1.44966
393,1.23576e-08,-1.44813
394,1.23671e-08,-1.44482
395,1.24233e-08,-1.446
396,1.2421e-08,-1.44555
397,1.24452e-08,-1.44619
398,1.2514e-08,-1.44403
399,1.25689e-08,-1.44412
400,1.25738e-08,-1.44516
401,1.25876e-08,-1.44501
402,1.26457e-08,-1.44484
403,1.2668e-08,-1.44329
404,1.26832e-08,-1.44455
405,1.27505e-08,-1.44308
406,1.27533e-08,-1.44348
407,1.27835e-08,-1.4435
408,1.28203e-08,-1.44402
409,1.28525e-08,-1.44331
410,1.29265e-08,-1.44119
411,1.2941e-08,-1.44142
412,1.29563e-08,-1.4414
413,1.29854e-08,-1.4399
414,1.3022e-08,-1.44192
415,1.30629e-08,-1.44107
416,1.30734e-08,-1.43911
417,1.31361e-08,-1.44149
418,1.31605e-08,-1.43732
419,1.31713e-08,-1.4392
420,1.3173e-08,-1.43931
421,1.32207e-08,-1.43762
422,1.33061e-08,-1.43513
423,1.33112e-08,-1.43824
424,1.33844e-08,-1.43068
425,1.33432e-08,-1.43712
426,1.34044e-08,-1.43665
427,1.34681e-08,-1.43803
428,1.34522e-08,-1.43423
429,1.34855e-08,-1.43443
430,1.35383e-08,-1.43579
431,1.36096e-08,-1.33526
432,1.35942e-08,-1.43424
433,1.36216e-08,-1.43528
434,1.36595e-08,-1.43568
435,1.37035e-08,-1.43391
436,1.37162e-08,-1.43331
437,1.37696e-08,-1.43335
438,1.38023e-08,-1.4326
439,1.38333e-08,-1.43208
440,1.38647e-08,-1.43289
441,1.38949e-08,-1.4345
442,1.39203e-08,-1.43162
443,1.39505e-08,-1.43139
444,1.40158e-08,-1.43008
445,1.39984e-08,-1.43141
446,1.40647e-08,-1.42972
447,1.40885e-08,-1.43075
448,1.41188e-08,-1.43038
449,1.41618e-08,-1.42943
450,1.41786e-08,-1.42231
451,1.42256e-08,-1.42891
452,1.42512e-08,-1.42791
453,1.42899e-08,-1.42901
454,1.43505e-08,-1.42837
455,1.41941e-08,-1.43955
456,1.43816e-08,-1.42693
457,1.4417e-08,-1.4266
458,1.44541e-08,-1.42797
459,1.44905e-08,-1.42765
460,1.45089e-08,-1.42638
461,1.45646e-08,-1.42676
462,1.46158e-08,-1.42762
463,1.45882e-08,-1.42563
464,1.46098e-08,-1.42556
465,1.46549e-08,-1.42531
466,1.47148e-08,-1.42659
467,1.475e-08,-1.42404
468,1.47884e-08,-1.42439
469,1.48216e-08,-1.42287
470,1.48419e-08,-1.42569
471,1.4885e-08,-1.42097
472,1.49039e-08,-1.42275
473,1.50024e-08,-1.42019
474,1.49705e-08,-1.42276
475,1.49922e-08,-1.41986
476,1.50542e-08,-1.41928
477,1.50805e-08,-1.42073
478,1.51309e-08,-1.42517
479,1.51454e-08,-1.41924
480,1.51544e-08,-1.41698
481,1.5181e-08,-1.41853
482,1.52856e-08,-1.4113
483,1.52634e-08,-1.41842
484,1.53156e-08,-1.41998
485,1.53217e-08,-1.41698
486,1.54117e-08,-1.4215
487,1.54035e-08,-1.4178
488,1.54292e-08,-1.4176
489,1.54852e-08,-1.41562
490,1.54959e-08,-1.41552
491,1.54947e-08,-1.41745
492,1.5588e-08,-1.41787
493,1.56111e-08,-1.41561
494,1.56281e-08,-1.41506
495,1.56587e-08,-1.41463
496,1.56905e-08,-1.41522
497,1.57095e-08,-1.41385
498,1.57563e-08,-1.41443
499,1.58044e-08,-1.41513
500,1.58315e-08,-1.41286
501,1.58744e-08,-1.41256
502,1.58292e-08,-1.41526
503,1.59273e-08,-1.41086
504,1.59827e-08,-1.41282
505,1.59814e-08,-1.41094
506,1.60305e-08,-1.4122
507,1.60723e-08,-1.41227
508,1.61008e-08,-1.41221
509,1.61164e-08,-1.41156
510,1.61583e-08,-1.41079
511,1.61875e-08,-1.40902
512,1.62372e-08,-1.40992
513,1.63209e-08,-1.41289
514,1.6133e-08,-1.40574
515,1.62969e-08,-1.40984
516,1.63352e-08,-1.4128
517,1.63946e-08,-1.40765
518,1.6418e-08,-1.40875
519,1.64433e-08,-1.40893
520,1.65049e-08,-1.40697
521,1.65441e-08,-1.4064
522,1.65538e-08,-1.40734
523,1.67032e-08,-1.40459
524,1.66232e-08,-1.40774
525,1.66564e-08,-1.40574
526,1.6697e-08,-1.40444
527,1.67668e-08,-1.40653
528,1.67467e-08,-1.40876
529,1.68177e-08,-1.40383
530,1.68108e-08,-1.40515
531,1.68487e-08,-1.40459
532,1.68882e-08,-1.40362
533,1.69295e-08,-1.40329
534,1.6951e-08,-1.40128
535,1.70271e-08,-1.4031
536,1.7016e-08,-1.40315
537,1.70547e-08,-1.40257
538,1.71026e-08,-1.40214
539,1.57991e-08,-1.41061
540,1.71609e-08,-1.40339
541,1.71932e-08,-1.40124
542,1.72253e-08,-1.39986
543,1.72534e-08,-1.4
544,1.72989e-08,-1.40005
545,1.73178e-08,-1.4005
546,1.73846e-08,-1.39659
547,1.73635e-08,-1.39849
548,1.74252e-08,-1.39955
549,1.74716e-08,-1.39829
550,1.74892e-08,-1.39883
551,1.75328e-08,-1.39721
552,1.75376e-08,-1.39768
553,1.76302e-08,-1.39668
554,1.76234e-08,-1.39756
555,1.7647e-08,-1.39643
556,1.76932e-08,-1.39742
557,1.772e-08,-1.39736
558,1.77619e-08,-1.39514
559,1.77856e-08,-1.39492
560,1.78573e-08,-1.39532
561,1.76337e-08,-1.39241
562,1.78828e-08,-1.39491
563,1.79086e-08,-1.39422
564,1.79688e-08,-1.39419
565,1.79745e-08,-1.39158
566,1.79891e-08,-1.39127
567,1.80691e-08,-1.39284
568,1.80712e-08,-1.39288
569,1.81268e-08,-1.39207
570,1.81597e-08,-1.3909
571,1.81874e-08,-1.39055
572,1.81522e-08,-1.39108
573,1.82567e-08,-1.39122
574,1.8291e-08,-1.39095
575,1.83522e-08,-1.39155
576,1.82704e-08,-1.38853
577,1.83979e-08,-1.39001
578,1.84124e-08,-1.38932
579,1.84203e-08,-1.38964
580,1.84801e-08,-1.38946
581,1.85122e-08,-1.3882
582,1.86364e-08,-1.38646
583,1.85575e-08,-1.38454
584,1.86299e-08,-1.38724
585,1.86558e-08,-1.37928
586,1.86942e-08,-1.38709
587,1.87198e-08,-1.3854
588,1.87442e-08,-1.38601
589,1.87887e-08,-1.38452
590,1.88333e-08,-1.38761
591,1.88834e-08,-1.38382
592,1.89392e-08,-1.38322
593,1.89575e-08,-1.3814
594,1.89228e-08,-1.38362
595,1.90782e-08,-1.38686
596,1.91289e-08,-1.38353
597,1.90716e-08,-1.38317
598,1.91524e-08,-1.37945
599,1.91227e-08,-1.3816
600,1.91893e-08,-1.38007
601,1.9184e-08,-1.38241
602,1.92413e-08,-1.38049
603,1.92644e-08,-1.38178
604,1.92971e-08,-1.38167
605,1.93362e-08,-1.3802
606,1.93318e-08,-1.37704
607,1.94328e-08,-1.37972
608,1.91602e-08,-1.38518
609,1.95082e-08,-1.37884
610,1.94958e-08,-1.38143
611,1.95424e-08,-1.37904
612,1.95722e-08,-1.37842
613,1.96135e-08,-1.37708
614,1.96391e-08,-1.37636
615,1.97014e-08,-1.37776
616,1.96895e-08,-1.37667
617,1.97449e-08,-1.37635
618,1.97604e-08,-1.37558
619,1.97996e-08,-1.37644
620,1.98552e-08,-1.37686
621,1.98923e-08,-1.37444
622,1.99314e-08,-1.37518
623,1.99227e-08,-1.37351
624,1.99986e-08,-1.37511
625,2.00417e-08,-1.37335
626,2.00415e-08,-1.37604
627,2.00873e-08,-1.37447
628,2.01181e-08,-1.37273
629,2.01562e-08,-1.37151
630,2.01986e-08,-1.37334
631,2.01877e-08,-1.37188
632,2.02609e-08,-1.36949
633,2.02913e-08,-1.37168
634,2.0331e-08,-1.37137
635,2.03752e-08,-1.37259
636,2.04102e-08,-1.37114
637,2.04351e-08,-1.37081
638,2.04885e-08,-1.37088
639,2.05125e-08,-1.37096
640,2.05524e-08,-1.369
641,2.05848e-08,-1.36947
642,2.06165e-08,-1.36809
643,2.06134e-08,-1.3696
644,2.06586e-08,-1.36939
645,2.06787e-08,-1.36882
646,2.07318e-08,-1.3667
647,2.07658e-08,-1.36825
648,2.07863e-08,-1.36622
649,2.08264e-08,-1.36489
650,2.09221e-08,-1.36596
651,2.0885e-08,-1.36365
652,2.09541e-08,-1.36477
653,2.09583e-08,-1.36671
654,2.09749e-08,-1.36986
655,2.10534e-08,-1.36523
656,2.09748e-08,-1.36667
657,2.11403e-08,-1.36374
658,2.11649e-08,-1.36396
659,2.1277e-08,-1.36771
660,2.12172e-08,-1.36261
661,2.12566e-08,-1.36305
662,2.12636e-08,-1.3634
663,2.1362e-08,-1.36058
664,2.13726e-08,-1.36332
665,2.13841e-08,-1.36241
666,2.14453e-08,-1.36155
667,2.14604e-08,-1.36105
668,2.151e-08,-1.36142
669,2.14184e-08,-1.35628
670,2.15877e-08,-1.35757
671,2.15548e-08,-1.36105
672,2.1634e-08,-1.35942
673,2.16531e-08,-1.36111
674,2.16861e-08,-1.35979
675,2.17246e-08,-1.35857
676,2.17659e-08,-1.35981
677,2.17846e-08,-1.35714
678,2.18278e-08,-1.35869
679,2.18647e-08,-1.35688
680,2.18815e-08,-1.35907
681,2.19405e-08,-1.35684
682,2.2053e-08,-1.35617
683,2.20434e-08,-1.35496
684,2.21414e-08,-1.35064
685,2.20755e-08,-1.35506
686,2.2163e-08,-1.3552
687,2.21211e-08,-1.35576
688,2.21736e-08,-1.35474
689,2.2246e-08,-1.35398
690,2.22577e-08,-1.35331
691,2.23514e-08,-1.34997
692,2.23054e-08,-1.3534
693,2.23721e-08,-1.35181
694,2.23985e-08,-1.35312
695,2.24605e-08,-1.35047
696,2.24242e-08,-1.35252
697,2.25347e-08,-1.35309
698,2.25586e-08,-1.35112
699,2.27217e-08,-1.35621
700,2.26059e-08,-1.34761
701,2.26497e-08,-1.35073
702,2.26819e-08,-1.34941
703,2.2717e-08,-1.3495
704,2.27639e-08,-1.34845
705,2.27436e-08,-1.35
706,2.27983e-08,-1.35001
707,2.28611e-08,-1.34856
708,2.28918e-08,-1.34922
709,2.28189e-08,-1.34271
710,2.2864e-08,-1.35401
711,2.2953e-08,-1.34556
712,2.30263e-08,-1.34789
713,2.29959e-08,-1.34742
714,2.31203e-08,-1.35475
715,2.31489e-08,-1.34717
716,2.30682e-08,-1.3405
717,2.32239e-08,-1.34556
718,2.32225e-08,-1.34526
719,2.32938e-08,-1.3452
720,2.3265e-08,-1.34141
721,2.33684e-08,-1.34488
722,2.33866e-08,-1.34434
723,2.34422e-08,-1.3434
724,2.34959e-08,-1.34418
725,2.34598e-08,-1.34638
726,2.35314e-08,-1.34501
727,2.3544e-08,-1.34221
728,2.36096e-08,-1.34308
729,2.32952e-08,-1.342
730,2.36943e-08,-1.33753
731,2.37061e-08,-1.34172
732,2.37381e-08,-1.34062
733,2.37771e-08,-1.34022
734,2.37998e-08,-1.33933
735,2.38399e-08,-1.34004
736,2.38571e-08,-1.34181
737,2.39308e-08,-1.33991
738,2.39514e-08,-1.33689
739,2.39882e-08,-1.33873
740,2.40338e-08,-1.33872
741,2.40401e-08,-1.33756
742,2.40984e-08,-1.33798
743,2.4079e-08,-1.33697
744,2.41926e-08,-1.31816
745,2.42371e-08,-1.33809
746,2.42359e-08,-1.33605
747,2.42818e-08,-1.33615
748,2.43219e-08,-1.33559
749,2.4373e-08,-1.33672
750,2.43605e-08,-1.33578
751,2.44138e-08,-1.33492
752,2.44478e-08,-1.33374
753,2.43817e-08,-1.33175
754,2.45269e-08,-1.33271
755,2.45103e-08,-1.33289
756,2.45766e-08,-1.33294
757,2.46409e-08,-1.33428
758,2.47499e-08,-1.33351
759,2.51097e-08,-1.3379
760,2.47429e-08,-1.33235
761,2.47599e-08,-1.33124
762,2.47914e-08,-1.33106
763,2.48406e-08,-1.33199
764,2.48911e-08,-1.3317
765,2.49033e-08,-1.33123
766,2.49488e-08,-1.32982
767,2.49563e-08,-1.33014
768,2.50392e-08,-1.3316
769,2.50265e-08,-1.32882
770,2.51224e-08,-1.32807
771,2.51346e-08,-1.32915
772,2.51192e-08,-1.32842
773,2.51419e-08,-1.3267
774,2.52091e-08,-1.33736
775,2.55215e-08,-1.32315
776,2.53413e-08,-1.32667
777,2.53368e-08,-1.32574
778,2.5406e-08,-1.33228
779,2.54065e-08,-1.32401
780,2.54572e-08,-1.3324
781,2.5491e-08,-1.32574
782,2.54589e-08,-1.32015
783,2.55423e-08,-1.32319
784,2.55899e-08,-1.32436
785,2.56518e-08,-1.32409
786,2.56519e-08,-1.32406
787,2.56539e-08,-1.32676
788,2.58164e-08,-1.31812
789,2.56431e-08,-1.32633
790,2.58138e-08,-1.32158
791,2.58477e-08,-1.32197
792,2.58894e-08,-1.322
793,2.59195e-08,-1.32215
794,2.59564e-08,-1.32093
795,2.59466e-08,-1.32105
796,2.60251e-08,-1.32223
797,2.60333e-08,-1.31997
798,2.60651e-08,-1.32053
799,2.61362e-08,-1.31966
800,2.61547e-08,-1.31929
801,2.6194e-08,-1.31805
802,2.62399e-08,-1.31882
803,2.61699e-08,-1.31931
804,2.6161e-08,-1.31362
805,2.63811e-08,-1.31904
806,2.64395e-08,-1.31753
807,2.64166e-08,-1.31985
808,2.64325e-08,-1.31764
809,2.65121e-08,-1.31626
810,2.65428e-08,-1.31733
811,2.65637e-08,-1.31519
812,2.66003e-08,-1.31476
813,2.66271e-08,-1.31257
814,2.66556e-08,-1.31501
815,2.67003e-08,-1.31414
816,2.67469e-08,-1.31274
817,2.67726e-08,-1.31331
818,2.6829e-08,-1.31443
819,2.69174e-08,-1.30919
820,2.6898e-08,-1.31425
821,2.6919e-08,-1.30902
822,2.69683e-08,-1.31312
823,2.69954e-08,-1.31209
824,2.71209e-08,-1.31371
825,2.70845e-08,-1.31206
826,2.71124e-08,-1.31193
827,2.71905e-08,-1.31342
828,2.72063e-08,-1.31017
829,2.72502e-08,-1.31131
830,2.72349e-08,-1.30984
831,2.73063e-08,-1.30989
832,2.73412e-08,-1.30828
833,2.73441e-08,-1.30887
834,2.74438e-08,-1.30892
835,2.74513e-08,-1.30867
836,2.74941e-08,-1.30917
837,2.75048e-08,-1.30745
838,2.74848e-08,-1.30856
839,2.75841e-08,-1.30672
840,2.76243e-08,-1.30723
841,2.75966e-08,-1.30788
842,2.77204e-08,-1.30645
843,2.77619e-08,-1.30606
844,2.78247e-08,-1.30633
845,2.78284e-08,-1.30532
846,2.78202e-08,-1.30497
847,2.79655e-08,-1.30729
848,2.79695e-08,-1.30287
849,2.80294e-08,-1.30252
850,2.80276e-08,-1.30236
851,2.80442e-08,-1.30312
852,2.80636e-08,-1.30322
853,2.80774e-08,-1.30216
854,2.81338e-08,-1.3057
855,2.8161e-08,-1.30172
856,2.81998e-08,-1.30041
857,2.82778e-08,-1.30008
858,2.82856e-08,-1.30034
859,2.83593e-08,-1.30185
860,2.8372e-08,-1.30126
861,2.83802e-08,-1.30038
862,2.85354e-08,-1.3017
863,2.84876e-08,-1.29891
864,2.86093e-08,-1.30041
865,2.85571e-08,-1.29926
866,2.85676e-08,-1.29886
867,2.86563e-08,-1.29803
868,2.86294e-08,-1.29843
869,2.87362e-08,-1.29839
870,2.87464e-08,-1.29646
871,2.87943e-08,-1.29598
872,2.87146e-08,-1.29417
